mode,N,nstep,launches,t_kernel_med_ms,t_kernel_iqr,t_e2e_med_ms,t_e2e_iqr,throughput_Mroot_s,det
G1,1024,8,8,0.18246,0.00118,0.19117,0.00123,5.612,1
G2,1024,8,1,0.08998,0.00106,0.09873,0.00112,11.380,1
G3,1024,8,1,0.10170,0.00090,0.11038,0.00098,10.069,1
G4,1024,8,1,0.17728,0.00173,0.18612,0.00145,5.776,1
G5,1024,8,1,0.00970,0.00051,0.01833,0.00015,105.611,1
G1,4096,8,8,0.18464,0.00202,0.19323,0.00181,22.184,1
G2,4096,8,1,0.08557,0.00074,0.09406,0.00068,47.868,1
G3,4096,8,1,0.10138,0.00083,0.11027,0.00096,40.404,1
G4,4096,8,1,0.18253,0.00128,0.19113,0.00187,22.440,1
G5,4096,8,1,0.01008,0.00102,0.01854,0.00096,406.349,1
G1,16384,8,8,0.18573,0.00163,0.19423,0.00223,88.215,1
G2,16384,8,1,0.09158,0.00086,0.10018,0.00046,178.896,1
G3,16384,8,1,0.10186,0.00090,0.11055,0.00105,160.855,1
G4,16384,8,1,0.18141,0.00106,0.19023,0.00089,90.316,1
G5,16384,8,1,0.00979,0.00051,0.01835,0.00026,1673.203,1
G1,65536,8,8,0.29213,0.00173,0.30075,0.00195,224.340,1
G2,65536,8,1,0.17514,0.00099,0.18401,0.00094,374.201,1
G3,65536,8,1,0.19843,0.00083,0.20686,0.00105,330.269,1
G4,65536,8,1,0.25766,0.00515,0.26612,0.00535,254.347,1
G5,65536,8,1,0.01117,0.00122,0.02012,0.00119,5868.195,1
G1,262144,8,8,0.81834,0.00336,0.82722,0.00321,320.338,1
G2,262144,8,1,0.60160,0.01101,0.61035,0.01055,435.745,1
G3,262144,8,1,0.67859,0.00310,0.68776,0.00272,386.306,1
G4,262144,8,1,0.78931,0.00861,0.79845,0.00867,332.117,1
G5,262144,8,1,0.01789,0.00038,0.02653,0.00028,14654.740,1
G1,1048576,8,8,3.03027,0.00320,3.03877,0.00345,346.034,1
G2,1048576,8,1,2.11987,0.00918,2.12874,0.00914,494.641,1
G3,1048576,8,1,2.69357,0.00534,2.70212,0.00493,389.289,1
G4,1048576,8,1,2.86880,0.02256,2.87758,0.02293,365.510,1
G5,1048576,8,1,0.04422,0.00102,0.05307,0.00123,23710.564,1
G1,4194304,8,8,11.76826,0.01725,11.77765,0.01736,356.408,1
G2,4194304,8,1,8.16659,0.01901,8.17571,0.01826,513.593,1
G3,4194304,8,1,10.63818,0.00176,10.64763,0.00159,394.269,1
G4,4194304,8,1,11.47578,0.04288,11.48543,0.04323,365.492,1
G5,4194304,8,1,0.15053,0.00115,0.15944,0.00125,27863.946,1
