kappa,rAB,rBC
1.361999e+05,1.386882e-11,1.642055e+00
5.205942e+05,7.260570e-12,3.614017e-01
2.040643e+05,5.429229e-12,3.015409e-03
4.091102e+03,2.163132e-13,7.852303e-06
4.684313e+04,5.190960e-12,1.246830e-02
4.502874e+02,6.069593e-14,4.039279e-07
1.285838e+05,4.115722e-11,2.877292e-01
2.601436e+06,2.294033e-10,1.142371e+00
8.628156e+04,1.318280e-11,1.437381e-02
4.149651e+09,7.822089e-08,1.001328e+00
7.258814e+05,3.966883e-11,1.221771e+00
1.713762e+06,3.560704e-10,6.577596e-01
3.983178e+05,1.743494e-11,1.162747e+00
4.841582e+01,2.083959e-15,3.359425e-09
2.779208e+02,1.263473e-14,6.055697e-09
1.600593e+03,2.244365e-14,4.962448e-06
3.334923e+03,2.218390e-12,1.348380e-04
1.275182e+10,9.531353e-08,3.852222e-01
7.685248e+03,1.074333e-12,6.700965e-05
1.694749e+03,9.072299e-14,5.694612e-06
8.476117e+04,1.109225e-11,5.084635e-01
6.108512e+10,3.708029e-07,9.999686e-01
9.904928e+05,8.706453e-11,9.595218e+00
6.668465e+04,5.190236e-12,1.257018e+00
1.593860e+07,5.774012e-12,1.002321e+00
1.092009e+06,6.533328e-12,3.086841e+01
2.983543e+05,9.499162e-13,2.685151e+00
8.188517e+11,7.207727e-05,9.999999e-01
6.609304e+01,5.315246e-16,2.681622e-08
8.885891e+06,4.241291e-10,8.718409e-01
6.856109e+03,9.215913e-15,8.889511e-05
1.406125e+04,1.382698e-13,4.450036e-04
4.281126e+05,4.998904e-13,3.963875e-02
2.902267e+05,5.600925e-12,4.225888e-02
2.019713e+02,2.037782e-14,1.554577e-07
1.142843e+12,1.473077e-05,1.000000e+00
3.188804e+03,1.352015e-14,1.998291e-05
1.712369e+01,2.438578e-16,1.079549e-08
4.171176e+05,1.262341e-11,5.679299e-01
1.217185e+04,6.913781e-13,2.757028e-04
9.012418e+02,5.174840e-14,1.555472e-06
8.155323e+02,9.464882e-14,4.220871e-06
6.870842e+06,2.836624e-10,1.002524e+00
5.235068e+10,2.823027e-07,9.999667e-01
1.270521e+05,9.914457e-12,6.740387e-02
5.349036e+07,2.077319e-10,9.925427e-01
7.638776e+03,2.310299e-13,1.541209e-04
1.338523e+02,2.858146e-14,3.810199e-08
4.090846e+04,6.309974e-13,1.473713e-03
1.651234e+02,8.565598e-15,8.665836e-08
1.815937e+07,1.053966e-09,9.799950e-01
5.245630e+01,1.938917e-15,7.689776e-09
2.115404e+01,1.039045e-15,1.199344e-09
3.503401e+04,2.785879e-12,1.209256e-03
2.184161e+05,3.575904e-12,7.679526e-03
7.614680e+03,2.116744e-12,1.140466e-04
4.537340e+04,1.063228e-12,3.413839e-02
4.531683e+10,3.405724e-07,1.000001e+00
2.576448e+01,3.974635e-15,1.210557e-09
1.031913e+07,4.317902e-11,3.576358e+00
1.114165e+02,3.899567e-14,2.417611e-08
2.426646e+07,3.689827e-10,9.693937e-01
6.791406e+02,9.651322e-14,5.654098e-07
6.338158e+11,6.799056e-06,1.000001e+00
1.638787e+02,2.423013e-14,5.748280e-08
3.013697e+02,1.906221e-14,5.793942e-07
8.362034e+10,2.577116e-07,9.999696e-01
4.780964e+01,1.305890e-14,4.085181e-10
1.012799e+03,4.257127e-14,2.745022e-06
9.582169e+10,4.269933e-03,1.000000e+00
4.474652e+03,1.016518e-13,3.875869e-05
1.703543e+06,3.265480e-11,7.654544e-01
5.291689e+05,1.443601e-11,9.111177e-01
7.823019e+06,1.245760e-11,9.889932e-01
1.889885e+02,1.752128e-14,4.793748e-09
1.351476e+04,5.352567e-13,1.246006e-04
1.080332e+12,2.680535e-08,1.000000e+00
1.126072e+06,9.286286e-11,1.104955e+00
3.104093e+05,3.579948e-12,1.038278e+00
8.629995e+09,6.496591e-07,9.999791e-01
1.467488e+08,3.653551e-06,9.954720e-01
3.357453e+11,2.194206e-07,9.999999e-01
1.767067e+07,5.062995e-10,9.351329e-01
5.446646e+02,1.341332e-13,2.503613e-06
1.019250e+03,6.257516e-15,1.748741e-06
7.793224e+06,7.111290e-11,9.852955e-01
2.465055e+06,4.682591e-11,1.644044e+00
3.198762e+03,1.146673e-13,6.377455e-06
7.014715e+11,8.880408e-01,3.156215e+01
8.375180e+03,5.822740e-13,1.041912e-03
2.562651e+05,1.813162e-10,3.054290e+00
1.048017e+04,1.949685e-13,1.748846e-04
1.248940e+05,3.720412e-11,2.799274e-03
8.543093e+05,4.317073e-11,2.623451e+00
9.595992e+02,1.725909e-13,6.016044e-06
1.593176e+02,2.361667e-15,1.312939e-08
5.800632e+02,2.404524e-14,5.655873e-08
7.847529e+06,7.727379e-10,9.088468e-01
1.007318e+03,3.337719e-14,4.371603e-08
6.081768e+02,1.478371e-14,1.631227e-06
2.900367e+03,2.789933e-13,1.649608e-05
2.446659e+07,6.367040e-10,9.715287e-01
7.917762e+02,1.284174e-14,1.003282e-06
3.243672e+06,1.340843e-10,1.012898e+00
1.941286e+08,2.071319e-10,9.886970e-01
3.694511e+02,2.004845e-14,1.043593e-06
3.203438e+02,1.489602e-14,2.357846e-07
1.064721e+06,4.375111e-11,8.721282e-01
1.059612e+08,1.354040e-09,9.860615e-01
1.397597e+05,5.446636e-12,2.971683e-02
3.771227e+04,2.129152e-12,4.325208e-06
3.473983e+10,3.996314e-07,1.000035e+00
2.990723e+06,8.725093e-12,1.965742e+00
5.916678e+11,3.871566e-05,1.000000e+00
2.695244e+01,8.355395e-16,7.504006e-10
5.588844e+04,1.265817e-12,6.320813e-03
6.648788e+02,5.584196e-15,7.832078e-07
2.473358e+06,3.363774e-11,1.009642e+00
2.010119e+02,5.111272e-15,4.544788e-07
2.361462e+10,1.435801e-07,1.000026e+00
1.893467e+01,6.991987e-16,2.334946e-10
6.969774e+06,5.729827e-10,9.784764e-01
1.840778e+03,4.225236e-14,2.916288e-07
1.302160e+04,9.751174e-13,2.911157e-04
2.647163e+12,4.662958e-05,1.000000e+00
1.986072e+11,7.513454e-07,6.861045e-01
7.068047e+06,2.012528e-10,1.231225e+00
1.755063e+04,3.891551e-13,4.203376e-04
9.979265e+05,1.942922e-10,1.637559e+00
2.981556e+04,1.307603e-12,1.788161e-03
2.333336e+06,1.040255e-10,9.985571e-01
7.373552e+10,2.137336e-07,9.999409e-01
4.912449e+04,1.074505e-12,4.902500e-03
3.739935e+05,9.775072e-11,6.928869e-01
6.503226e+03,8.581327e-13,3.433887e-05
7.790006e+06,8.839590e-11,8.400740e-01
6.967500e+04,2.051463e-12,2.021445e-02
2.173622e+06,7.727044e-11,7.123019e-01
5.401436e+06,4.470543e-10,9.539916e-01
2.404075e+02,1.738163e-14,1.349021e-08
2.864336e+04,6.415412e-12,4.325840e-03
4.696194e+05,8.338765e-12,3.430557e-01
8.659873e+01,3.513606e-15,3.418801e-08
8.936021e+05,2.507861e-11,1.619527e+00
2.680142e+05,5.772729e-11,3.304782e-01
4.791601e+09,2.910438e-08,9.999445e-01
4.232456e+03,2.090476e-13,3.579706e-05
2.785373e+05,1.102039e-11,7.640057e-01
1.191068e+06,4.074699e-10,1.563155e+00
1.259385e+02,1.254995e-14,3.343018e-09
7.319837e+07,3.938240e-10,9.957257e-01
6.920567e+04,2.091011e-12,4.037911e-03
1.698611e+10,3.131617e-07,9.999889e-01
2.827225e+07,7.641090e-10,9.603684e-01
7.988491e+04,4.210117e-12,1.657355e-02
2.230671e+11,3.819977e-08,1.000000e+00
3.532475e+05,2.686156e-12,3.897216e-03
1.185208e+05,1.030968e-11,2.671791e-02
5.633792e+05,1.354256e-11,2.271684e-01
1.683552e+04,3.966310e-13,1.686597e-04
2.388379e+03,3.167828e-13,2.475845e-05
2.394740e+02,3.982617e-14,3.871726e-07
7.159645e+02,6.047445e-14,8.391641e-07
1.700112e+05,1.298023e-12,1.370081e-01
4.185058e+03,3.662800e-14,3.311340e-08
5.922955e+08,6.771867e-08,9.998571e-01
1.185857e+06,2.623497e-10,8.953190e-01
2.727944e+04,2.628257e-12,1.312351e-03
6.785672e+05,1.011948e-11,5.897067e-01
7.132162e+02,2.408777e-13,7.534816e-07
3.442943e+04,9.439988e-13,3.967562e-04
1.295063e+03,2.640770e-13,9.026814e-06
1.049261e+03,1.772632e-14,2.239975e-08
3.353500e+07,1.359868e-09,9.950821e-01
3.762628e+06,3.148763e-11,4.804040e-01
2.369873e+07,3.927067e-10,1.051225e+00
1.794246e+02,2.623293e-15,1.504190e-07
2.026582e+02,4.798135e-14,2.460141e-09
1.983902e+04,2.740979e-12,5.447583e-03
1.369863e+03,2.664868e-14,2.633686e-06
2.945910e+03,1.267769e-13,1.759622e-05
5.066886e+08,5.640166e-09,9.994144e-01
2.769816e+09,1.762297e-07,9.999803e-01
1.608098e+05,2.236424e-13,3.839944e-02
5.946592e+10,2.155120e-06,9.999530e-01
5.497756e+03,1.029405e-12,4.204062e-05
1.292150e+02,4.178816e-15,2.800638e-08
2.738217e+02,7.991210e-15,1.787252e-07
1.881660e+08,1.417241e-09,9.965103e-01
1.314740e+02,1.947907e-14,3.708203e-08
1.502971e+11,2.221456e-05,1.000000e+00
4.010742e+03,4.053611e-14,1.451627e-07
1.294393e+04,5.662960e-13,3.253897e-04
8.518838e+03,6.987679e-13,2.841207e-05
1.629644e+10,2.839250e-06,9.999614e-01
3.576956e+02,7.148055e-15,2.538535e-07
4.770821e+01,3.221282e-15,1.805113e-09
2.449702e+04,4.038881e-13,2.740818e-04
5.691702e+05,3.333026e-12,4.057309e-01
8.309908e+00,1.066599e-15,3.063116e-10
3.455816e+02,1.260899e-15,1.652993e-07
