idx,kappa,gamma,alpha,cert,cert_d,cert_gen,compliant,moved,moved_G3,e_G3,e_G4,e_G5,kn,kh,kmax
0,167125.45912818232,136199.9,0.2457318,0,0,0,0,1,1,5.385174270145951e-06,5.385199249730422e-06,9.550732130531623e-05,15,8,5
1,845678224977.275,606306300000.0,0.2507042,0,0,0,0,1,1,5.086119363661578e-08,4.657100372004717e-08,0.00013863999634182106,17,9,5
2,37419.96837321497,520594.2,0.299203,0,0,0,0,1,1,1.2888490497076077e-08,1.2836670948424e-08,0.00038968792508120575,17,9,6
3,309199.6257738984,98874.16,0.2538578,0,0,0,0,1,1,6.919034579035382e-06,6.9197164090581705e-06,4.0197724686933246e-05,16,8,6
4,78736.4631748028,204064.3,0.2686734,0,0,0,0,1,1,2.5883400247284083e-05,2.5883436820861583e-05,9.49756105933508e-05,12,6,5
5,755.5637479329924,4091.102,0.2047094,0,0,0,0,1,1,0.0005079262979984511,0.0005079262978703314,0.0005140491626881571,8,4,5
6,41516250.03014744,33137140.0,0.2273954,0,0,0,0,1,1,4.540770365881822e-07,4.525852041072187e-07,0.00013549593871438508,20,11,6
7,54656.80420833931,46843.13,0.258811,0,0,0,0,1,1,1.2943033671420506e-05,1.294300508260076e-05,0.0001209707066660047,15,8,6
8,500.52637527226995,450.2874,0.2294923,0,0,0,0,1,1,0.0022238131871904487,0.0022238131866610944,0.002221649105821233,5,3,5
9,199050.6147463894,128583.8,0.2476195,0,0,0,0,1,1,6.59712243042523e-06,6.59760863924841e-06,0.00015761235231818478,14,7,5
10,3062758.955669579,2601436.0,0.2472641,0,0,0,0,1,1,4.341019627096543e-07,4.349899325184481e-07,1.3763696098401113e-06,18,9,5
11,85103.22735237986,86281.56,0.2505809,0,0,0,0,1,1,2.160160939013167e-12,2.356947970127976e-11,0.00012087114954340006,11,6,5
12,1246753904.1529045,4149651000.0,0.2546,0,0,0,0,1,1,4.312968970854314e-08,4.5276863480658847e-08,3.324580909180863e-05,18,9,5
13,110395.74399234059,725881.4,0.2285732,0,0,0,0,1,1,3.397282455352979e-14,8.607559109918839e-13,3.515337436177379e-05,16,8,5
14,2582666.153018949,1713762.0,0.2506582,0,0,0,0,1,1,1.1804410293414502e-06,1.1797601691398985e-06,9.822443703808026e-05,14,7,5
15,6202122823.39348,9827460000.0,0.1318107,1,1,0,1,1,1,0.04570641114413531,0.04570641114417909,0.04571088212622962,4,2,5
16,593125.809062177,398317.8,0.247603,0,0,0,0,1,1,2.3686016430054432e-06,2.369489644794838e-06,0.0001425139730174804,16,8,5
17,58.01893050510854,48.41582,0.1438845,1,1,1,1,1,1,4.440892098500626e-16,2.2093438190040615e-14,3.931816107138886e-07,4,2,5
18,100.84778483567415,277.9208,0.09442374,1,1,0,1,1,1,5.591802308957067e-15,1.1583019068553924e-14,6.420539610739271e-06,4,2,5
19,119159906779.44081,120278300000.0,0.2463907,0,0,0,0,1,1,1.6743307951205821e-07,1.667915093261918e-07,3.9381670660365575e-05,20,10,5
20,240.06504273969895,1600.593,0.2497418,0,0,0,0,1,1,1.4988010832439613e-15,4.657385588302532e-14,1.0191625249844627e-06,6,3,5
21,7415367043.701756,10420400000.0,0.2329964,0,0,0,0,1,1,2.075576705506954e-07,2.0682084228562658e-07,0.00010423561462152842,20,11,5
22,9991.446050367433,3334.923,0.2593969,0,0,0,0,1,1,1.988321697840306e-13,3.481298807623412e-11,0.00014678841715636375,13,7,6
23,22531053028.54943,12751820000.0,0.2503155,0,0,0,0,1,1,1.9191864806051803e-08,4.4703747392880685e-08,0.00012004875425454408,16,8,5
24,10589.242501300798,7685.248,0.2487342,0,0,0,0,1,1,0.00017285274358813663,0.00017285274410600016,0.0002252514691360452,7,4,5
25,1022.7261766630276,1694.749,0.2515375,0,0,0,0,1,1,0.0005921533074506324,0.000592153307312937,0.0005920815872110796,10,5,5
26,125356538.2218182,103719500.0,0.3454555,0,0,0,0,1,1,8.58564873157504e-07,8.578974182443118e-07,0.00010754043750451328,21,11,6
27,201313.93406258442,84761.17,0.2488906,0,0,0,0,1,1,5.839593583686516e-06,5.83963156029694e-06,0.00013809040773713526,14,7,5
28,8265349205.845464,61085120000.0,0.2433829,0,0,0,0,1,1,2.157114503686941e-08,2.1002010408555094e-08,2.836870695294147e-05,18,9,5
29,232563414.83235186,280065100.0,0.2280136,0,0,0,0,1,1,3.5532992881393e-07,3.563653272475875e-07,0.00016463406453914864,20,11,6
30,59581857433.150085,46342850000.0,0.2486323,0,0,0,0,1,1,4.7409290636604424e-08,4.764205919240975e-08,2.9136211663739623e-05,17,9,5
31,117834.02403552299,101718.9,0.239011,0,0,0,0,1,1,1.108249369030645e-05,1.1082446367494114e-05,3.686598594465629e-05,16,8,6
32,1133194.8488122292,990492.8,0.24753,0,0,0,0,1,1,1.0268979048211335e-06,1.0270181048377403e-06,0.00010763898869697863,15,8,5
33,52076070.971427195,145483600.0,0.2397988,0,0,0,0,1,1,1.4556993982450805e-07,1.4533660097626466e-07,0.0007888513956539889,20,10,5
34,257172.14422639122,66684.65,0.247304,0,0,0,0,1,1,8.680577726895523e-06,8.680559397018295e-06,9.85835993684527e-05,15,8,6
35,9148240364.937284,4800922000.0,0.2470941,0,0,0,0,1,1,1.302372986643851e-07,1.3269524626416152e-07,0.000104733261119256,19,10,5
36,1243228490.4780903,2155280000.0,0.2532801,0,0,0,0,1,1,1.4815624838071528e-08,7.03212685859711e-08,0.0006063449239623875,15,8,5
37,129.54202885395765,122.8285,0.2494252,0,0,0,0,1,1,0.007451133261874243,0.007451133261957052,0.007454338946728766,9,5,6
38,1176646847.4306962,4390520000.0,0.2464342,0,0,0,0,1,1,1.93597521902511e-08,1.9529125205863807e-08,2.8924505722116578e-05,18,9,5
39,22264020.095839188,15938600.0,0.2480567,0,0,0,0,1,1,5.2015049163183655e-08,5.890677512227759e-08,0.0001094876890009388,18,9,5
40,370027262.3788772,294958200.0,0.2475412,0,0,0,0,1,1,6.58464800835442e-08,6.148655018006917e-08,5.244815277647863e-06,18,9,5
41,140787.79705544948,1092009.0,0.2754201,0,0,0,0,1,1,9.958256441677804e-12,3.923108504721995e-10,9.690891866642737e-05,16,8,5
42,31743.95531712105,298354.3,1.553783,0,0,0,0,1,1,5.193844694328931e-07,5.193921375212796e-07,2.6281435496544603e-05,19,10,5
43,1456472024118.2551,818851700000.0,0.2346145,0,0,0,0,1,1,4.873367011775525e-07,4.869405877468448e-07,0.00011330666170668368,21,11,6
44,153.88761346884854,66.09304,0.09770243,1,1,1,1,1,1,1.1872212842331472e-16,1.942294021005429e-13,1.7721393651674613e-06,4,2,5
45,409929223.1075885,323728100.0,0.2490539,0,0,0,0,1,1,2.6804227046172764e-08,4.6848350418846016e-08,0.0001292818325536546,16,9,5
46,1811918.9700002791,8885891.0,0.2564035,0,0,0,0,1,1,2.377576524548175e-08,2.3952828276385674e-08,0.00019303775522161448,18,9,5
47,2972.2434822545047,2690.223,0.2636342,0,0,0,0,1,1,0.0003726817209592781,0.00037268171915849635,0.0003207037291748094,12,6,6
48,768396241.6957686,541439200.0,0.2526365,0,0,0,0,1,1,7.030961855478441e-08,7.049542035306837e-08,9.377966736049038e-05,18,10,5
49,192063.3894498142,1509605.0,0.2896028,0,0,0,0,1,1,8.592577594168649e-07,8.592609088697856e-07,2.100135455074259e-05,18,9,6
50,489.68282316393373,6856.109,0.2858047,0,0,0,0,1,1,0.00015028652799731201,0.0001502865281844401,0.00015408093629482034,11,6,5
51,18250.636973624383,14061.25,0.2513021,0,0,0,0,1,1,1.5665312215706902e-13,3.0354474428239877e-11,2.9488082787759307e-05,11,6,5
52,254868.32034495377,428112.6,0.2467956,0,0,0,0,1,1,7.6033558750188135e-06,7.603568230818425e-06,0.00023673253488332158,11,6,5
53,2623385.476726705,1242082.0,0.252955,0,0,0,0,1,1,4.4879566554186137e-07,4.5161021704834223e-07,0.0028363830729568984,17,9,5
54,103801.04960473097,290226.7,0.3714247,0,0,0,0,1,1,1.0157218344186703e-08,1.0254229798611902e-08,1.094386807098946e-05,18,9,6
55,308.5531438892428,201.9713,1.117851,0,0,0,0,1,1,5.7134783150638735e-15,4.3012555228404773e-13,8.759918655936846e-06,5,3,5
56,1895704957187.3003,1142843000000.0,0.2254079,0,0,0,0,1,1,1.167791536959104e-06,1.167796244509428e-06,7.384077702330361e-05,22,11,6
57,740.0166347936678,873.5144,0.3288594,0,0,0,0,1,1,0.001179142701375091,0.0011791427016284994,0.0011668410038982446,11,6,6
58,993709597.824136,814052200.0,0.2703372,0,0,0,0,1,1,8.983178093467707e-07,8.982542600158363e-07,0.00032884139037891286,22,11,6
59,43355480.706085764,46633740.0,0.2498546,0,0,0,0,1,1,1.6441511866200266e-08,1.3925970095406268e-08,5.231711144079059e-05,16,8,5
60,283.72431577373044,3188.804,0.2959273,0,0,0,0,1,1,1.1934897514720433e-15,8.923417560424696e-14,1.177748044339788e-06,9,4,5
61,1692985705.4760296,750262700.0,0.2442335,0,0,0,0,1,1,1.652877053836107e-07,1.6666053312104417e-07,0.00017444998874209414,19,10,6
62,1169700.5567863942,2945827.0,0.2832109,0,0,0,0,1,1,1.3439538122939076e-06,1.3440942851494775e-06,2.484362928661943e-05,20,10,6
63,123566199.11587235,96860140.0,0.248935,0,0,0,0,1,1,7.454625017278005e-08,6.461904866750245e-08,0.0006033626631783973,18,9,5
64,2986374189502.3975,2281258000000.0,0.2493524,0,0,0,0,1,1,1.469678966679629e-08,2.42321724866579e-08,7.81470642293335e-05,16,8,5
65,29686996.730486237,21881390.0,2.068984,0,0,0,0,1,1,8.729244789945615e-07,8.731861185007193e-07,1.6869070501639497e-05,22,11,6
66,22.778450931988743,17.12369,0.1963438,0,0,0,0,1,1,1.1102230246251565e-16,1.5543122344752192e-15,6.689047797880932e-07,5,3,6
67,11645027594.334494,34307120000.0,0.2553775,0,0,0,0,1,1,3.1138193468116526e-08,1.2341019872685877e-08,9.551212660874331e-05,17,9,5
68,1220919947.059016,10059840000.0,0.2417404,0,0,0,0,1,1,3.7288349408193255e-08,3.576167767471716e-08,3.648783746756923e-06,19,10,5
69,571508.3919759,417117.6,0.2435107,0,0,0,0,1,1,2.1896973963037327e-06,2.1904110506651507e-06,0.00018857116953651358,17,9,6
70,7591.517547182749,12171.85,0.247691,0,0,0,0,1,1,8.517516587236429e-05,8.51751652700683e-05,0.00016423178255287052,9,5,5
71,3688134.492481673,4299382.0,0.2812963,0,0,0,0,1,1,1.2825297532881308e-06,1.2825948488837113e-06,6.297514097863832e-06,21,11,6
72,1006.2878234146613,901.2418,0.2497059,0,0,0,0,1,1,1.826874129574285e-14,2.2105176967848847e-13,2.8955617443715635e-05,11,6,6
73,1657.8744112432669,815.5323,0.2448337,0,0,0,0,1,1,6.613586662979755e-14,1.308717769586724e-12,4.925984384363166e-05,9,5,6
74,2774132.54932771,6870842.0,0.3197851,0,0,0,0,1,1,8.074567871774185e-06,8.079049479414735e-06,0.000141523621316475,15,7,5
75,46168629974.10976,52350680000.0,0.2350753,0,0,0,0,1,1,6.96399589106278e-07,6.965479653620044e-07,6.25896544844129e-05,22,11,6
76,223525.066863896,420900.1,0.215917,0,0,0,0,1,1,0.08533880818846934,0.08533880818845047,0.08533909236444165,4,2,5
77,449449811.07528114,400465500.0,0.252503,0,0,0,0,1,1,1.1492399950373626e-07,1.1600809596338023e-07,0.00041951145471157765,18,10,5
78,146350.89831234168,127052.1,0.2479905,0,0,0,0,1,1,3.589295249495565e-12,2.2290490982255717e-10,0.00011408727661151803,14,7,5
79,8294333.969922123,53490360.0,0.2548808,0,0,0,0,1,1,1.0397250505000954e-08,9.661397903926172e-09,4.69281983752623e-05,17,9,5
80,13033.285446207152,7638.776,0.2509468,0,0,0,0,1,1,0.00011380692936371232,0.00011380694573329593,0.0010849373219565198,10,5,5
81,348.1011615382216,133.8523,0.6452879,0,0,0,0,1,1,6.123876268582757e-15,1.9960009212911922e-13,7.529137134361682e-06,5,3,5
82,19114.309452447935,40908.46,0.3042781,0,0,0,0,1,1,2.508548924140541e-13,1.2581824471169512e-11,9.076474604363671e-05,14,7,6
83,11520205844.742882,8629396000.0,0.2118958,0,0,0,0,1,1,1.0771687530884157e-06,1.0769720890742368e-06,0.00012444630646327236,22,11,6
84,188.9906297859022,165.1234,0.05439227,1,1,1,1,1,1,0.004652653764668846,0.00465265376503118,0.0046511252372278735,3,2,5
85,18331117.672302864,18159370.0,0.2541986,0,0,0,0,1,1,2.773545801915134e-07,2.77435521112146e-07,7.081523390206623e-05,20,10,5
86,16937705.77471194,14389990.0,0.2441551,0,0,0,0,1,1,2.2697763870196666e-07,2.2780274059813353e-07,0.00014537200504181219,19,10,5
87,4264014.262928913,5706640.0,0.2892072,0,0,0,0,1,1,1.3448135836591213e-06,1.344957673121705e-06,0.00012452071099733342,21,10,6
88,55362432.89490037,85135760.0,0.2469283,0,0,0,0,1,1,7.09655150719129e-08,8.119889616510741e-08,0.00029296425417294685,17,9,5
89,86.21416399505847,52.4563,0.1028021,1,1,0,1,1,1,3.2116538715158145e-15,6.34622805011525e-14,3.527283014605391e-06,4,2,5
90,21.110153744295108,21.15404,0.02599347,1,1,1,1,1,1,0.0,9.769962616701378e-15,3.320962358444035e-07,3,2,5
91,88265682670001.88,72787330000000.0,0.3577155,0,0,0,0,1,1,1.1138942476556918e-06,1.1141453770850165e-06,6.64017997402838e-05,23,12,6
92,28562.49955389643,35034.01,0.249455,0,0,0,0,1,1,6.137312880127865e-13,2.0612900275551738e-11,7.681958297650615e-05,10,5,5
93,122044956.6632852,65014750.0,0.2511341,0,0,0,0,1,1,1.252692446440662e-07,1.252418623809426e-07,0.0002008878966687777,18,10,5
