idx,kappa,gamma,alpha,cert,cert_d,cert_gen,compliant,moved,moved_G3,e_G3,e_G4,e_G5,kn,kh,kmax
0,167125.45912818232,136199.9,0.0003439213,1,1,1,1,1,1,1.6266253098451917e-12,8.16732329715543e-12,3.9277214003120116e-08,1,1,3
1,845678224977.275,606306300000.0,0.2518143,0,0,0,0,1,1,1.437292743498149e-07,1.4388459584900932e-07,0.00014350747820999474,19,10,5
2,37419.96837321497,520594.2,0.0001708179,1,1,1,1,1,1,1.4618306565239436e-12,1.7387091766352114e-11,7.992258618350068e-05,1,1,3
3,309199.6257738984,98874.16,0.0004949289,1,1,1,1,1,1,1.9307850681584175e-12,1.3954740836583e-10,3.602552336763637e-08,1,1,3
4,78736.4631748028,204064.3,3.375052e-05,1,1,1,1,1,1,3.044786645034492e-13,6.208777936222987e-11,4.390856234159912e-09,1,1,3
5,755.5637479329924,4091.102,1.67094e-08,1,1,1,1,0,1,1.2878587085651816e-14,1.0950129691877919e-12,1.0710129914381916e-05,0,0,1
6,41516250.03014744,33137140.0,0.2498146,0,0,0,0,1,1,1.3622204917418094e-11,3.483434323033248e-08,4.976670810972968e-07,4,3,4
7,54656.80420833931,46843.13,4.694481e-05,1,1,1,1,1,1,2.925625999806109e-12,5.0547578295456055e-11,0.00010255256516544532,1,1,3
8,500.52637527226995,450.2874,2.488215e-09,1,1,1,1,0,1,1.6764367671839864e-14,3.822497873784414e-13,1.5194003309626503e-05,0,0,1
9,199050.6147463894,128583.8,0.0003366089,1,1,1,1,1,1,1.510229030213881e-12,2.561683248396741e-10,5.24451957599874e-08,1,1,3
10,3062758.955669579,2601436.0,0.11712,1,1,1,1,1,1,1.79910530917482e-11,1.9552275354328685e-09,1.4359256610863014e-05,2,1,3
11,85103.22735237986,86281.56,7.815932e-05,1,1,1,1,1,1,7.349676423018536e-14,1.8571699733627156e-11,7.069817876470541e-05,1,1,3
12,1246753904.1529045,4149651000.0,0.2500215,0,0,0,0,1,1,5.766896071790484e-09,1.6153861692735916e-08,1.3814694895031288e-05,11,6,5
13,110395.74399234059,725881.4,0.0008449416,1,1,1,1,1,1,8.829048603331557e-13,7.083922337614013e-11,2.8149828600665394e-05,1,1,3
14,2582666.153018949,1713762.0,0.02618899,1,1,1,1,1,1,2.1188190091336878e-11,7.469046214847452e-10,2.5455200870855288e-05,2,1,3
15,6202122823.39348,9827460000.0,0.2494175,0,0,0,0,1,1,4.8405709677596487e-08,1.1621016462903748e-08,6.15368449354169e-05,11,6,5
16,593125.809062177,398317.8,0.002800491,1,1,1,1,1,1,1.1993538299783252e-11,1.1638872766958949e-10,9.230644077694526e-10,1,1,3
17,58.01893050510854,48.41582,2.626749e-11,1,1,1,1,0,1,8.881784197001252e-16,3.097522238704187e-14,2.40509027138458e-08,0,0,1
18,100.84778483567415,277.9208,6.109999e-11,1,1,1,1,0,1,5.991216759596857e-16,1.7374528602830887e-13,4.38341660712012e-06,0,0,1
19,119159906779.44081,120278300000.0,0.249562,0,0,0,0,1,1,2.0055070826252575e-08,3.027676936939727e-08,7.430999249874448e-05,17,9,5
20,240.06504273969895,1600.593,4.247115e-09,1,1,1,1,0,1,1.1657341758564144e-15,3.247402347028583e-14,2.092046130941494e-06,0,0,1
21,7415367043.701756,10420400000.0,0.249888,0,0,0,0,1,1,1.940378968612322e-09,9.068779005527716e-09,9.92288244603956e-05,13,7,5
22,9991.446050367433,3334.923,9.136653e-07,1,1,1,1,1,1,1.9918284380481373e-13,8.680760047475812e-12,7.835347848471471e-05,1,1,3
23,22531053028.54943,12751820000.0,0.2500634,0,0,0,0,1,1,4.336917186105786e-09,3.42813197193914e-08,0.00011114733346880648,13,7,5
24,10589.242501300798,7685.248,6.800261e-07,1,1,1,1,1,1,3.9968028886505635e-14,3.717415264503643e-12,6.445690679474092e-05,1,1,3
